#p q x1 x2 x3 df/dx3
10.600000 1.000000 1.694619 0.018664 0.135309 -0.581686
10.610000 1.000000 0.277784 0.191116 0.021420 0.490452
10.610000 1.000000 0.277784 0.191117 0.021420 0.490452
10.610000 1.000000 1.693549 0.018706 0.135120 -0.580916
10.620000 1.000000 0.278519 0.190860 0.021460 0.489989
10.620000 1.000000 1.692478 0.018748 0.134931 -0.580144
10.630000 1.000000 0.279256 0.190604 0.021500 0.489524
10.630000 1.000000 1.691405 0.018790 0.134742 -0.579370
10.640000 1.000000 0.279994 0.190348 0.021540 0.489058
10.640000 1.000000 1.690330 0.018832 0.134553 -0.578596
10.650000 1.000000 0.280734 0.190091 0.021581 0.488590
10.650000 1.000000 0.280735 0.190091 0.021581 0.488590
10.650000 1.000000 1.689253 0.018875 0.134365 -0.577820
10.660000 1.000000 0.281476 0.189835 0.021621 0.488120
10.660000 1.000000 1.688175 0.018917 0.134176 -0.577042
10.660000 1.000000 1.688175 0.018917 0.134176 -0.577043
10.670000 1.000000 0.282220 0.189578 0.021662 0.487649
10.670000 1.000000 1.687095 0.018960 0.133988 -0.576264
10.680000 1.000000 0.282965 0.189321 0.021702 0.487176
10.680000 1.000000 1.686013 0.019003 0.133800 -0.575484
10.690000 1.000000 0.283712 0.189064 0.021743 0.486701
10.690000 1.000000 1.684930 0.019045 0.133612 -0.574702
10.700000 1.000000 0.284461 0.188807 0.021784 0.486224
10.700000 1.000000 0.284461 0.188807 0.021784 0.486225
10.700000 1.000000 1.683845 0.019088 0.133424 -0.573920
10.710000 1.000000 0.285211 0.188550 0.021825 0.485746
10.710000 1.000000 1.682758 0.019131 0.133237 -0.573136
10.720000 1.000000 0.285963 0.188293 0.021865 0.485267
10.720000 1.000000 1.681669 0.019175 0.133049 -0.572350
10.730000 1.000000 0.286717 0.188035 0.021906 0.484785
10.730000 1.000000 1.680579 0.019218 0.132862 -0.571563
10.740000 1.000000 0.287472 0.187778 0.021947 0.484302
10.740000 1.000000 1.679486 0.019261 0.132674 -0.570775
10.750000 1.000000 0.288229 0.187520 0.021989 0.483817
10.750000 1.000000 1.678392 0.019305 0.132487 -0.569985
10.750000 1.000000 1.678393 0.019305 0.132487 -0.569985
10.760000 1.000000 0.288988 0.187262 0.022030 0.483330
10.760000 1.000000 0.288988 0.187262 0.022030 0.483331
10.760000 1.000000 1.677297 0.019349 0.132300 -0.569194
10.770000 1.000000 0.289749 0.187004 0.022071 0.482842
10.770000 1.000000 1.676199 0.019392 0.132114 -0.568402
10.780000 1.000000 0.290511 0.186746 0.022112 0.482352
10.780000 1.000000 1.675100 0.019436 0.131927 -0.567608
10.790000 1.000000 0.291276 0.186488 0.022154 0.481860
10.790000 1.000000 0.291276 0.186488 0.022154 0.481861
10.790000 1.000000 1.673999 0.019480 0.131740 -0.566812
10.800000 1.000000 0.292041 0.186230 0.022195 0.481367
10.800000 1.000000 0.292042 0.186230 0.022195 0.481367
10.800000 1.000000 1.672896 0.019525 0.131554 -0.566015
10.800000 1.000000 1.672896 0.019525 0.131554 -0.566016
10.810000 1.000000 0.292809 0.185971 0.022237 0.480872
10.810000 1.000000 0.292809 0.185972 0.022237 0.480872
10.810000 1.000000 1.671791 0.019569 0.131368 -0.565217
10.820000 1.000000 0.293579 0.185713 0.022279 0.480375
10.820000 1.000000 1.670684 0.019613 0.131182 -0.564418
10.820000 1.000000 1.670685 0.019613 0.131182 -0.564418
10.830000 1.000000 0.294350 0.185454 0.022321 0.479876
10.830000 1.000000 1.669576 0.019658 0.130996 -0.563617
10.840000 1.000000 0.295123 0.185196 0.022362 0.479376
10.840000 1.000000 1.668466 0.019702 0.130810 -0.562814
10.850000 1.000000 0.295898 0.184937 0.022404 0.478873
10.850000 1.000000 1.667354 0.019747 0.130624 -0.562010
10.860000 1.000000 0.296675 0.184678 0.022446 0.478369
10.860000 1.000000 1.666240 0.019792 0.130438 -0.561205
10.870000 1.000000 0.297453 0.184419 0.022488 0.477864
10.870000 1.000000 1.665124 0.019837 0.130253 -0.560398
10.880000 1.000000 0.298234 0.184159 0.022531 0.477356
10.880000 1.000000 1.664006 0.019882 0.130067 -0.559589
10.880000 1.000000 1.664007 0.019882 0.130067 -0.559589
10.890000 1.000000 0.299016 0.183900 0.022573 0.476847
10.890000 1.000000 1.662887 0.019928 0.129882 -0.558780
10.900000 1.000000 0.299800 0.183641 0.022615 0.476336
10.900000 1.000000 1.661766 0.019973 0.129697 -0.557968
10.910000 1.000000 0.300586 0.183381 0.022658 0.475823
10.910000 1.000000 1.660642 0.020019 0.129512 -0.557155
10.920000 1.000000 0.301373 0.183121 0.022700 0.475308
10.920000 1.000000 1.659517 0.020064 0.129327 -0.556341
10.930000 1.000000 0.302163 0.182861 0.022743 0.474791
10.930000 1.000000 1.658390 0.020110 0.129143 -0.555525
10.940000 1.000000 0.302954 0.182601 0.022785 0.474273
10.940000 1.000000 1.657261 0.020156 0.128958 -0.554708
10.950000 1.000000 0.303748 0.182341 0.022828 0.473753
10.950000 1.000000 1.656130 0.020202 0.128773 -0.553889
10.960000 1.000000 0.304543 0.182081 0.022871 0.473231
