"","x"
"333","ENSG00000156026"
"334","ENSG00000145819"
"335","ENSG00000105193"
"336","ENSG00000184227"
"337","ENSG00000183580"
"338","ENSG00000165030"
"339","ENSG00000187840"
"340","ENSG00000272341"
"341","ENSG00000139239"
"342","ENSG00000242071"
"343","ENSG00000213493"
"344","ENSG00000119922"
"345","ENSG00000078177"
"346","ENSG00000279461"
"347","ENSG00000205426"
"348","ENSG00000241429"
"349","ENSG00000158164"
"350","ENSG00000149968"
"351","ENSG00000065328"
"352","ENSG00000117399"
"353","ENSG00000129195"
"354","ENSG00000167513"
"355","ENSG00000249784"
"356","ENSG00000165480"
"357","ENSG00000101057"
"358","ENSG00000131153"
"359","ENSG00000142731"
"360","ENSG00000085840"
"361","ENSG00000093009"
"362","ENSG00000135451"
"363","ENSG00000143228"
"364","ENSG00000171848"
"365","ENSG00000112984"
"366","ENSG00000186185"
"367","ENSG00000127564"
"368","ENSG00000165490"
"369","ENSG00000189057"
"370","ENSG00000167900"
"371","ENSG00000100162"
"372","ENSG00000092853"
"373","ENSG00000186871"
"374","ENSG00000148773"
"375","ENSG00000179750"
"376","ENSG00000121152"
"377","ENSG00000105011"
"378","ENSG00000237649"
"379","ENSG00000113368"
"380","ENSG00000178999"
"381","ENSG00000154839"
"382","ENSG00000154146"
"383","ENSG00000100526"
"384","ENSG00000175063"
"385","ENSG00000161888"
"386","ENSG00000174371"
"387","ENSG00000166851"
"388","ENSG00000144354"
"389","ENSG00000145386"
"390","ENSG00000152253"
"391","ENSG00000169679"
"392","ENSG00000121211"
"393","ENSG00000085999"
"394","ENSG00000143476"
"395","ENSG00000138180"
"396","ENSG00000183856"
"397","ENSG00000229230"
"398","ENSG00000146670"
"399","ENSG00000117650"
"400","ENSG00000134690"
"401","ENSG00000163739"
"402","ENSG00000094804"
"403","ENSG00000169607"
"404","ENSG00000170312"
"405","ENSG00000100297"
"406","ENSG00000072571"
"407","ENSG00000168078"
"408","ENSG00000089685"
"409","ENSG00000118193"
"410","ENSG00000117724"
"411","ENSG00000165244"
"412","ENSG00000111206"
"413","ENSG00000101412"
"414","ENSG00000109805"
"415","ENSG00000126787"
"416","ENSG00000011426"
"417","ENSG00000024526"
"418","ENSG00000171241"
"419","ENSG00000276043"
"420","ENSG00000101447"
"421","ENSG00000151725"
"422","ENSG00000100479"
"423","ENSG00000075218"
"424","ENSG00000142945"
"425","ENSG00000131747"
"426","ENSG00000164611"
"427","ENSG00000112742"
"428","ENSG00000076382"
"429","ENSG00000122952"
"430","ENSG00000213005"
"431","ENSG00000111247"
"432","ENSG00000115163"
"433","ENSG00000156970"
"434","ENSG00000123496"
"435","ENSG00000090889"
"436","ENSG00000073111"
"437","ENSG00000163808"
"438","ENSG00000137812"
"439","ENSG00000123485"
"440","ENSG00000166803"
"441","ENSG00000203760"
"442","ENSG00000184661"
"443","ENSG00000012048"
"444","ENSG00000138160"
"445","ENSG00000157456"
"446","ENSG00000137310"
"447","ENSG00000092470"
"448","ENSG00000204767"
"449","ENSG00000166508"
"450","ENSG00000144554"
"451","ENSG00000073756"
"452","ENSG00000153044"
"453","ENSG00000080986"
"454","ENSG00000134057"
"455","ENSG00000265415"
"456","ENSG00000256663"
"457","ENSG00000269970"
"458","ENSG00000088325"
"459","ENSG00000068489"
"460","ENSG00000071539"
"461","ENSG00000249014"
"462","ENSG00000164109"
"463","ENSG00000111665"
"464","ENSG00000196611"
"465","ENSG00000013810"
"466","ENSG00000137807"
"467","ENSG00000198826"
"468","ENSG00000187741"
"469","ENSG00000091651"
"470","ENSG00000104738"
"471","ENSG00000207004"
"472","ENSG00000146918"
"473","ENSG00000207547"
"474","ENSG00000228716"
"475","ENSG00000006016"
"476","ENSG00000133119"
"477","ENSG00000176890"
"478","ENSG00000165304"
"479","ENSG00000077152"
"480","ENSG00000135476"
"481","ENSG00000160886"
"482","ENSG00000147573"
"483","ENSG00000140525"
"484","ENSG00000164283"
"485","ENSG00000127586"
"486","ENSG00000051180"
"487","ENSG00000214357"
"488","ENSG00000138778"
"489","ENSG00000112029"
"490","ENSG00000112118"
"491","ENSG00000161800"
"492","ENSG00000138182"
"493","ENSG00000162073"
"494","ENSG00000221829"
"495","ENSG00000164045"
"496","ENSG00000079616"
"497","ENSG00000160957"
"498","ENSG00000123219"
"499","ENSG00000111602"
"500","ENSG00000163535"
"501","ENSG00000101003"
"502","ENSG00000242265"
"503","ENSG00000163507"
"504","ENSG00000120802"
"505","ENSG00000119969"
"506","ENSG00000168496"
"507","ENSG00000173207"
"508","ENSG00000102384"
"509","ENSG00000105486"
"510","ENSG00000159259"
"511","ENSG00000164104"
"512","ENSG00000131470"
"513","ENSG00000277945"
"514","ENSG00000117632"
"515","ENSG00000212232"
"516","ENSG00000181544"
"517","ENSG00000253173"
"518","ENSG00000170779"
"519","ENSG00000019549"
"520","ENSG00000049541"
"521","ENSG00000162063"
"522","ENSG00000156802"
"523","ENSG00000162062"
"524","ENSG00000233929"
"525","ENSG00000164087"
"526","ENSG00000213551"
"527","ENSG00000259781"
"528","ENSG00000010292"
"529","ENSG00000108106"
"530","ENSG00000116741"
"531","ENSG00000164096"
"532","ENSG00000122966"
"533","ENSG00000167670"
"534","ENSG00000146410"
"535","ENSG00000080839"
"536","ENSG00000184445"
"537","ENSG00000136982"
"538","ENSG00000164379"
"539","ENSG00000188486"
"540","ENSG00000113810"
"541","ENSG00000169908"
"542","ENSG00000006468"
"543","ENSG00000132967"
"544","ENSG00000251194"
"545","ENSG00000101868"
"546","ENSG00000109881"
"547","ENSG00000163918"
"548","ENSG00000258759"
"549","ENSG00000106462"
"550","ENSG00000139354"
"551","ENSG00000137563"
"552","ENSG00000164032"
"553","ENSG00000062822"
"554","ENSG00000134222"
"555","ENSG00000168685"
"556","ENSG00000185480"
"557","ENSG00000168393"
"558","ENSG00000174442"
"559","ENSG00000241634"
"560","ENSG00000123473"
"561","ENSG00000123416"
"562","ENSG00000038427"
"563","ENSG00000076003"
"564","ENSG00000218502"
"565","ENSG00000224126"
"566","ENSG00000112312"
"567","ENSG00000228519"
"568","ENSG00000241990"
"569","ENSG00000139734"
"570","ENSG00000123136"
"571","ENSG00000119403"
"572","ENSG00000149503"
"573","ENSG00000188985"
"574","ENSG00000260549"
"575","ENSG00000218902"
"576","ENSG00000106399"
"577","ENSG00000241749"
"578","ENSG00000087586"
"579","ENSG00000198805"
"580","ENSG00000176641"
"581","ENSG00000111445"
"582","ENSG00000198830"
"583","ENSG00000176619"
"584","ENSG00000100558"
"585","ENSG00000171208"
"586","ENSG00000213347"
"587","ENSG00000106268"
"588","ENSG00000132646"
"589","ENSG00000262003"
"590","ENSG00000137404"
"591","ENSG00000123975"
"592","ENSG00000138092"
"593","ENSG00000169258"
"594","ENSG00000240163"
"595","ENSG00000006634"
"596","ENSG00000184162"
"597","ENSG00000138376"
"598","ENSG00000135318"
"599","ENSG00000174791"
"600","ENSG00000151503"
"601","ENSG00000140534"
"602","ENSG00000176170"
"603","ENSG00000005189"
"604","ENSG00000165501"
"605","ENSG00000167325"
"606","ENSG00000130816"
"607","ENSG00000160298"
"608","ENSG00000132780"
"609","ENSG00000136824"
"610","ENSG00000139289"
"611","ENSG00000133169"
"612","ENSG00000283429"
"613","ENSG00000263050"
"614","ENSG00000119333"
"615","ENSG00000177084"
"616","ENSG00000164171"
"617","ENSG00000157168"
"618","ENSG00000189403"
"619","ENSG00000159167"
"620","ENSG00000109674"
"621","ENSG00000119508"
"622","ENSG00000132639"
"623","ENSG00000255443"
"624","ENSG00000100749"
"625","ENSG00000113389"
"626","ENSG00000162840"
"627","ENSG00000138346"
"628","ENSG00000178921"
"629","ENSG00000095303"
"630","ENSG00000161692"
"631","ENSG00000079462"
"632","ENSG00000230584"
"633","ENSG00000171488"
"634","ENSG00000025770"
"635","ENSG00000259020"
"636","ENSG00000075131"
"637","ENSG00000136108"
"638","ENSG00000101945"
"639","ENSG00000099901"
"640","ENSG00000128050"
"641","ENSG00000115648"
"642","ENSG00000198142"
"643","ENSG00000167772"
"644","ENSG00000109685"
"645","ENSG00000159055"
"646","ENSG00000125398"
"647","ENSG00000179431"
"648","ENSG00000091409"
"649","ENSG00000235559"
"650","ENSG00000040275"
"651","ENSG00000128951"
"652","ENSG00000147536"
"653","ENSG00000267279"
"654","ENSG00000173376"
"655","ENSG00000143355"
"656","ENSG00000121075"
"657","ENSG00000185960"
"658","ENSG00000266235"
"659","ENSG00000117152"
"660","ENSG00000163814"
"661","ENSG00000101938"
"662","ENSG00000211766"
"663","ENSG00000173705"
"664","ENSG00000185442"
"665","ENSG00000124882"
"666","ENSG00000074410"
"667","ENSG00000111057"
"668","ENSG00000120875"
"669","ENSG00000034053"
"670","ENSG00000102837"
"671","ENSG00000268388"
"672","ENSG00000211767"
"673","ENSG00000126562"
"674","ENSG00000162817"
"675","ENSG00000076944"
"676","ENSG00000146072"
"677","ENSG00000088882"
"678","ENSG00000134508"
"679","ENSG00000134247"
"680","ENSG00000186469"
"681","ENSG00000148082"
"682","ENSG00000205683"
"683","ENSG00000105825"
"684","ENSG00000122861"
"685","ENSG00000110328"
"686","ENSG00000138347"
"687","ENSG00000172575"
"688","ENSG00000166106"
"689","ENSG00000228672"
"690","ENSG00000256268"
"691","ENSG00000154310"
"692","ENSG00000248698"
"693","ENSG00000261373"
"694","ENSG00000141052"
"695","ENSG00000286689"
"696","ENSG00000146966"
"697","ENSG00000139832"
"698","ENSG00000226318"
"699","ENSG00000163701"
"700","ENSG00000249992"
"701","ENSG00000276953"
"702","ENSG00000128487"
"703","ENSG00000120217"
"704","ENSG00000221643"
"705","ENSG00000132359"
"706","ENSG00000096060"
"707","ENSG00000261573"
"708","ENSG00000112297"
"709","ENSG00000149948"
"710","ENSG00000049759"
"711","ENSG00000122483"
"712","ENSG00000110031"
"713","ENSG00000022267"
"714","ENSG00000104332"
"715","ENSG00000188158"
"716","ENSG00000168916"
"717","ENSG00000080823"
"718","ENSG00000103647"
"719","ENSG00000189134"
"720","ENSG00000182378"
"721","ENSG00000261379"
"722","ENSG00000151640"
"723","ENSG00000148848"
"724","ENSG00000138028"
"725","ENSG00000131386"
"726","ENSG00000232389"
"727","ENSG00000139629"
"728","ENSG00000097046"
"729","ENSG00000179348"
"730","ENSG00000132688"
"731","ENSG00000136122"
"732","ENSG00000133816"
"733","ENSG00000013297"
"734","ENSG00000224945"
"735","ENSG00000104368"
"736","ENSG00000166451"
"737","ENSG00000106484"
"738","ENSG00000273521"
"739","ENSG00000148634"
"740","ENSG00000248641"
"741","ENSG00000138669"
"742","ENSG00000198554"
"743","ENSG00000143847"
"744","ENSG00000200087"
"745","ENSG00000163013"
"746","ENSG00000128973"
"747","ENSG00000136492"
"748","ENSG00000132436"
"749","ENSG00000281398"
"750","ENSG00000164932"
"751","ENSG00000119946"
"752","ENSG00000089472"
"753","ENSG00000162645"
"754","ENSG00000137831"
"755","ENSG00000174697"
"756","ENSG00000110104"
"757","ENSG00000129534"
"758","ENSG00000005884"
"759","ENSG00000023171"
"760","ENSG00000216775"
"761","ENSG00000213080"
"762","ENSG00000116132"
"763","ENSG00000115461"
"764","ENSG00000175567"
"765","ENSG00000175832"
"766","ENSG00000140403"
"767","ENSG00000041982"
"768","ENSG00000138134"
"769","ENSG00000255717"
"770","ENSG00000141682"
"771","ENSG00000146281"
"772","ENSG00000076641"
"773","ENSG00000093072"
"774","ENSG00000168952"
"775","ENSG00000278259"
"776","ENSG00000166833"
"777","ENSG00000267280"
"778","ENSG00000147394"
"779","ENSG00000171793"
"780","ENSG00000131389"
"781","ENSG00000100714"
"782","ENSG00000104356"
"783","ENSG00000135424"
"784","ENSG00000197381"
"785","ENSG00000154127"
"786","ENSG00000033867"
"787","ENSG00000116729"
"788","ENSG00000100003"
"789","ENSG00000151491"
"790","ENSG00000070950"
"791","ENSG00000239887"
"792","ENSG00000067057"
"793","ENSG00000138395"
"794","ENSG00000128059"
"795","ENSG00000078018"
"796","ENSG00000119397"
"797","ENSG00000173848"
"798","ENSG00000128805"
"799","ENSG00000143942"
"800","ENSG00000102172"
"801","ENSG00000128944"
"802","ENSG00000135905"
"803","ENSG00000103319"
"804","ENSG00000013016"
"805","ENSG00000115594"
"806","ENSG00000145555"
"807","ENSG00000152804"
"808","ENSG00000156103"
"809","ENSG00000042062"
"810","ENSG00000261786"
"811","ENSG00000160949"
"812","ENSG00000137309"
"813","ENSG00000185551"
"814","ENSG00000151474"
"815","ENSG00000110427"
"816","ENSG00000116830"
"817","ENSG00000147119"
"818","ENSG00000244300"
"819","ENSG00000152256"
"820","ENSG00000152990"
"821","ENSG00000163661"
"822","ENSG00000140263"
"823","ENSG00000138759"
"824","ENSG00000084774"
"825","ENSG00000121068"
"826","ENSG00000054967"
"827","ENSG00000116711"
"828","ENSG00000103995"
"829","ENSG00000101194"
"830","ENSG00000213673"
"831","ENSG00000104381"
"832","ENSG00000231924"
"833","ENSG00000130830"
"834","ENSG00000058804"
"835","ENSG00000240694"
"836","ENSG00000121060"
"837","ENSG00000107249"
"838","ENSG00000117155"
"839","ENSG00000138356"
"840","ENSG00000005100"
"841","ENSG00000100065"
"842","ENSG00000167747"
"843","ENSG00000106772"
"844","ENSG00000029153"
"845","ENSG00000197102"
"846","ENSG00000103449"
"847","ENSG00000134070"
"848","ENSG00000224411"
"849","ENSG00000142207"
"850","ENSG00000137501"
"851","ENSG00000134369"
"852","ENSG00000213430"
"853","ENSG00000132382"
"854","ENSG00000198682"
"855","ENSG00000180801"
"856","ENSG00000209482"
"857","ENSG00000183570"
"858","ENSG00000166197"
"859","ENSG00000132361"
"860","ENSG00000144381"
"861","ENSG00000149218"
"862","ENSG00000143850"
"863","ENSG00000095002"
"864","ENSG00000147459"
"865","ENSG00000135763"
"866","ENSG00000272622"
"867","ENSG00000173267"
"868","ENSG00000247626"
"869","ENSG00000102057"
"870","ENSG00000181192"
"871","ENSG00000148798"
"872","ENSG00000184995"
"873","ENSG00000223756"
"874","ENSG00000238058"
"875","ENSG00000149380"
"876","ENSG00000176974"
"877","ENSG00000112874"
"878","ENSG00000107554"
"879","ENSG00000168411"
"880","ENSG00000156113"
"881","ENSG00000114346"
"882","ENSG00000157600"
"883","ENSG00000236565"
"884","ENSG00000183044"
"885","ENSG00000001617"
"886","ENSG00000136261"
"887","ENSG00000126602"
"888","ENSG00000175592"
"889","ENSG00000146648"
"890","ENSG00000175414"
"891","ENSG00000101361"
"892","ENSG00000143799"
"893","ENSG00000282886"
"894","ENSG00000205794"
"895","ENSG00000114529"
"896","ENSG00000163545"
"897","ENSG00000123095"
"898","ENSG00000253729"
"899","ENSG00000204634"
"900","ENSG00000197321"
"901","ENSG00000262655"
"902","ENSG00000120539"
"903","ENSG00000167553"
"904","ENSG00000173535"
"905","ENSG00000119900"
"906","ENSG00000109452"
"907","ENSG00000100147"
"908","ENSG00000215492"
"909","ENSG00000175166"
"910","ENSG00000130713"
"911","ENSG00000072501"
"912","ENSG00000182158"
"913","ENSG00000214391"
"914","ENSG00000149554"
"915","ENSG00000117308"
"916","ENSG00000134668"
"917","ENSG00000083720"
"918","ENSG00000143401"
"919","ENSG00000149212"
"920","ENSG00000184588"
"921","ENSG00000197852"
"922","ENSG00000135723"
"923","ENSG00000204394"
"924","ENSG00000145284"
"925","ENSG00000025772"
"926","ENSG00000108389"
"927","ENSG00000154767"
"928","ENSG00000177542"
"929","ENSG00000162618"
"930","ENSG00000175130"
"931","ENSG00000149428"
"932","ENSG00000143842"
"933","ENSG00000113594"
"934","ENSG00000120885"
"935","ENSG00000144959"
"936","ENSG00000130695"
"937","ENSG00000130720"
"938","ENSG00000151835"
"939","ENSG00000115884"
"940","ENSG00000100578"
"941","ENSG00000254545"
"942","ENSG00000184178"
"943","ENSG00000077238"
"944","ENSG00000117114"
"945","ENSG00000166825"
"946","ENSG00000261236"
"947","ENSG00000160193"
"948","ENSG00000198814"
"949","ENSG00000113356"
"950","ENSG00000154447"
"951","ENSG00000257790"
"952","ENSG00000115756"
"953","ENSG00000182272"
"954","ENSG00000151849"
"955","ENSG00000175792"
"956","ENSG00000165271"
"957","ENSG00000043143"
"958","ENSG00000130204"
"959","ENSG00000148843"
"960","ENSG00000124207"
"961","ENSG00000095319"
"962","ENSG00000142197"
"963","ENSG00000042088"
"964","ENSG00000154930"
"965","ENSG00000178295"
"966","ENSG00000155189"
"967","ENSG00000105738"
"968","ENSG00000091127"
"969","ENSG00000277161"
"970","ENSG00000170558"
"971","ENSG00000187514"
"972","ENSG00000106785"
"973","ENSG00000108219"
"974","ENSG00000172009"
"975","ENSG00000145824"
"976","ENSG00000236333"
"977","ENSG00000138780"
"978","ENSG00000149136"
"979","ENSG00000141499"
"980","ENSG00000113569"
"981","ENSG00000077312"
"982","ENSG00000152455"
"983","ENSG00000120800"
"984","ENSG00000149929"
"985","ENSG00000214944"
"986","ENSG00000198900"
"987","ENSG00000165732"
"988","ENSG00000164647"
"989","ENSG00000184307"
"990","ENSG00000229644"
"991","ENSG00000128602"
"992","ENSG00000164484"
"993","ENSG00000131941"
"994","ENSG00000241878"
"995","ENSG00000170525"
"996","ENSG00000167721"
"997","ENSG00000175137"
"998","ENSG00000173559"
"999","ENSG00000198331"
"1000","ENSG00000242125"
"1001","ENSG00000168404"
"1002","ENSG00000116962"
"1003","ENSG00000129667"
"1004","ENSG00000137054"
"1005","ENSG00000247077"
"1006","ENSG00000101811"
"1007","ENSG00000181751"
"1008","ENSG00000213190"
"1009","ENSG00000178860"
"1010","ENSG00000264577"
"1011","ENSG00000137337"
"1012","ENSG00000107815"
"1013","ENSG00000159131"
"1014","ENSG00000197785"
"1015","ENSG00000166881"
"1016","ENSG00000108947"
"1017","ENSG00000241343"
"1018","ENSG00000100462"
"1019","ENSG00000269304"
"1020","ENSG00000188807"
"1021","ENSG00000089159"
"1022","ENSG00000232499"
"1023","ENSG00000142627"
"1024","ENSG00000004478"
"1025","ENSG00000185432"
"1026","ENSG00000011376"
"1027","ENSG00000183207"
"1028","ENSG00000150990"
"1029","ENSG00000028277"
"1030","ENSG00000101911"
"1031","ENSG00000133739"
"1032","ENSG00000114268"
"1033","ENSG00000065183"
"1034","ENSG00000123213"
"1035","ENSG00000104689"
"1036","ENSG00000100350"
"1037","ENSG00000131462"
"1038","ENSG00000089154"
"1039","ENSG00000052749"
"1040","ENSG00000069869"
"1041","ENSG00000151414"
"1042","ENSG00000158805"
"1043","ENSG00000138074"
"1044","ENSG00000196878"
"1045","ENSG00000182504"
"1046","ENSG00000261559"
"1047","ENSG00000171680"
"1048","ENSG00000204366"
"1049","ENSG00000149636"
"1050","ENSG00000186260"
"1051","ENSG00000100116"
"1052","ENSG00000179981"
"1053","ENSG00000123374"
"1054","ENSG00000169213"
"1055","ENSG00000108883"
"1056","ENSG00000141076"
"1057","ENSG00000149054"
"1058","ENSG00000206053"
"1059","ENSG00000153395"
"1060","ENSG00000236456"
"1061","ENSG00000105173"
"1062","ENSG00000055044"
"1063","ENSG00000241889"
"1064","ENSG00000087266"
"1065","ENSG00000144824"
"1066","ENSG00000081913"
"1067","ENSG00000103241"
"1068","ENSG00000213300"
"1069","ENSG00000163811"
"1070","ENSG00000213761"
